ssoc_code,title,major_group,major_group_label,estimated_employment,data_quality
11110,Legislator,1,Managers,1475,two_digit_distributed_varied
11122,Senior statutory board official,1,Managers,124,two_digit_distributed_varied
11140,Senior official of political party organisation,1,Managers,757,two_digit_distributed_varied
11150,Senior official of employers’/workers’ and related economic-interest organisation,1,Managers,1114,two_digit_distributed_varied
11160,Senior official of humanitarian and other special-interest organisation,1,Managers,1901,two_digit_distributed_varied
11203,Chief operating officer/General manager,1,Managers,44929,two_digit_distributed_wage_weighted
12113,Audit manager,1,Managers,28893,two_digit_distributed_wage_weighted
12123,Training manager,1,Managers,26291,two_digit_distributed_wage_weighted
12133,Risk management manager,1,Managers,26020,two_digit_distributed_wage_weighted
12199,Other business services/administration manager n.e.c.,1,Managers,1598,two_digit_distributed_varied
12215,Online sales channel manager,1,Managers,28242,two_digit_distributed_wage_weighted
12222,Marketing manager,1,Managers,25205,two_digit_distributed_wage_weighted
12230,Research and development manager,1,Managers,24903,two_digit_distributed_wage_weighted
12242,Call centre manager,1,Managers,26449,two_digit_distributed_wage_weighted
13100,Production manager in agriculture/fisheries,1,Managers,15610,two_digit_distributed_wage_weighted
13210,Manufacturing manager,1,Managers,14313,two_digit_distributed_wage_weighted
13230,Construction manager,1,Managers,11980,two_digit_distributed_wage_weighted
13245,Port/Shipping operations manager,1,Managers,16097,two_digit_distributed_wage_weighted
13299,Other production/operations manager n.e.c.,1,Managers,31,two_digit_distributed_varied
13301,Chief information officer/Chief technology officer/Chief information security,1,Managers,21771,two_digit_distributed_wage_weighted
13302,Application development manager Alternative Title,1,Managers,320,two_digit_distributed_varied
13306,ICT product design manager,1,Managers,315,two_digit_distributed_varied
13410,Preschool education/Early intervention centre manager,1,Managers,84,two_digit_distributed_varied
13420,Health services manager,1,Managers,12027,two_digit_distributed_wage_weighted
13430,Aged care services manager,1,Managers,14680,two_digit_distributed_wage_weighted
13442,Volunteer manager,1,Managers,25,two_digit_distributed_varied
13459,Education/Training institution manager n.e.c.,1,Managers,18,two_digit_distributed_varied
13463,Financial risk manager,1,Managers,14813,two_digit_distributed_wage_weighted
13499,Other professional/financial/community/social services manager n.e.c.,1,Managers,17,two_digit_distributed_varied
14110,Hotel operations/Lodging services manager,1,Managers,9206,two_digit_distributed_wage_weighted
14123,Food and beverage operations manager,1,Managers,12468,two_digit_distributed_wage_weighted
14202,Wholesale trade manager,1,Managers,14399,two_digit_distributed_wage_weighted
14310,Sports centre manager,1,Managers,8523,two_digit_distributed_wage_weighted
14329,Recreation centre manager n.e.c.,1,Managers,71,two_digit_distributed_varied
14330,Arts/Cultural centre manager,1,Managers,33,two_digit_distributed_varied
14399,Other services manager n.e.c.,1,Managers,100,two_digit_distributed_varied
21110,Physicist/Astronomer,2,Professionals,3,two_digit_distributed_varied
21120,Meteorologist,2,Professionals,9056,two_digit_distributed_wage_weighted
21130,Chemist,2,Professionals,7694,two_digit_distributed_wage_weighted
21149,Geologist/Geophysicist and related physical science professional n.e.c.,2,Professionals,11,two_digit_distributed_varied
21213,Actuary,2,Professionals,8823,two_digit_distributed_wage_weighted
21222,Data scientist,2,Professionals,9615,two_digit_distributed_wage_weighted
21239,Other statistical/mathematical/actuarial professional n.e.c.,2,Professionals,51,two_digit_distributed_varied
21319,Biologist/Botanist/Zoologist and related professional n.e.c.,2,Professionals,21,two_digit_distributed_varied
21329,Farming/Forestry/Fishery adviser n.e.c.,2,Professionals,109,two_digit_distributed_varied
21339,Environmental protection and related professional n.e.c.,2,Professionals,60,two_digit_distributed_varied
21349,Pharmacologist and related professional n.e.c.,2,Professionals,170,two_digit_distributed_varied
21415,Process engineer,2,Professionals,8594,two_digit_distributed_wage_weighted
21422,Building construction engineer,2,Professionals,7978,two_digit_distributed_wage_weighted
21430,Environmental engineer,2,Professionals,8438,two_digit_distributed_wage_weighted
21444,Port equipment engineer,2,Professionals,7617,two_digit_distributed_wage_weighted
21454,Food/Drink technologist,2,Professionals,8802,two_digit_distributed_wage_weighted
21460,Mining engineer/Metallurgist and related professional,2,Professionals,18,two_digit_distributed_varied
21475,Rolling stock engineer,2,Professionals,8868,two_digit_distributed_wage_weighted
21499,Other engineering professional n.e.c.,2,Professionals,42,two_digit_distributed_varied
21513,Lift engineer,2,Professionals,7456,two_digit_distributed_wage_weighted
21526,Embedded systems engineer,2,Professionals,193,two_digit_distributed_varied
21532,Telecommunications engineer,2,Professionals,8510,two_digit_distributed_wage_weighted
21610,Building architect,2,Professionals,8206,two_digit_distributed_wage_weighted
21622,Landscape designer,2,Professionals,7818,two_digit_distributed_wage_weighted
21632,Product/Industrial designer,2,Professionals,7675,two_digit_distributed_wage_weighted
21649,Urban and related planner n.e.c.,2,Professionals,27,two_digit_distributed_varied
21659,Surveyor/Cartographer n.e.c.,2,Professionals,4,two_digit_distributed_varied
21669,Graphic/Multimedia designer/artist n.e.c.,2,Professionals,99,two_digit_distributed_varied
21670,Service designer,2,Professionals,8849,two_digit_distributed_wage_weighted
21714,Marine superintendent,2,Professionals,11920,two_digit_distributed_wage_weighted
21729,Aircraft pilot and related professional n.e.c.,2,Professionals,9171,two_digit_distributed_wage_weighted
