ssoc_code,title,major_group,major_group_label,sub_major,description,slug
11110,Legislator,1,Managers,11,1112 Senior Government and Statutory Board Officials,legislator
11122,Senior statutory board official,1,Managers,11,1114 Senior Officials of Political Party Organisations,senior-statutory-board-official
11140,Senior official of political party organisation,1,Managers,11,"1115 Senior Officials of Employers’, Workers’ and Related Economic-Interest Organisations",senior-official-of-political-party-organisation
11150,Senior official of employers’/workers’ and related economic-interest organisation,1,Managers,11,1116 Senior Officials of Humanitarian and Other Special-Interest Organisations,senior-official-of-employers-workers-and-related-economic-interest-organisation
11160,Senior official of humanitarian and other special-interest organisation,1,Managers,11,"112 MANAGING DIRECTORS, CHIEF EXECUTIVES AND GENERAL MANAGERS 1120 Managing Directors, Chief Executives and General Managers",senior-official-of-humanitarian-and-other-special-interest-organisation
11203,Chief operating officer/General manager,1,Managers,11,12 ADMINISTRATIVE AND COMMERCIAL MANAGERS 121 BUSINESS SERVICES AND ADMINISTRATION MANAGERS 1211 Finance and Administration Managers,chief-operating-officer-general-manager
12113,Audit manager,1,Managers,12,1212 Human Resource Managers,audit-manager
12123,Training manager,1,Managers,12,"18  Singapore Department of Statistics Singapore Standard Occupational Classification 2024 Major Group 1: Legislators, Senior Officials and Managers 1213 Policy and Planning Managers",training-manager
12133,Risk management manager,1,Managers,12,1219 Business Services and Administration Managers Not Elsewhere Classified,risk-management-manager
12199,Other business services/administration manager n.e.c.,1,Managers,12,"122 SALES, MARKETING, DEVELOPMENT AND CUSTOMER SERVICE MANAGERS 1221 Sales and Business Development Managers",other-business-services-administration-manager-n-e-c
12215,Online sales channel manager,1,Managers,12,"1222 Marketing, Advertising and Public Relations Managers",online-sales-channel-manager
12222,Marketing manager,1,Managers,12,1223 Research and Development Managers,marketing-manager
12230,Research and development manager,1,Managers,12,1224 Customer Service and Call Centre Managers,research-and-development-manager
12242,Call centre manager,1,Managers,12,13 PRODUCTION AND SPECIALISED SERVICES MANAGERS 131 PRODUCTION MANAGERS IN AGRICULTURE AND FISHERIES 1310 Production Managers in Agriculture and Fisheries,call-centre-manager
13100,Production manager in agriculture/fisheries,1,Managers,13,"Singapore Department of Statistics Singapore Standard Occupational Classification 2024  19 Major Group 1: Legislators, Senior Officials and Managers 132 MANUFACTURING, CONSTRUCTION, TRANSPORT, DISTRIBUTION AND RELATED PRODUCTION AND OPERATIONS MANAGERS 1321 Manufacturing Managers",production-manager-in-agriculture-fisheries
13210,Manufacturing manager,1,Managers,13,1323 Construction Managers,manufacturing-manager
13230,Construction manager,1,Managers,13,"1324 Transport, Supply, Distribution and Related Managers",construction-manager
13245,Port/Shipping operations manager,1,Managers,13,1329 Production and Operations Managers Not Elsewhere Classified,port-shipping-operations-manager
