ssoc_code,occupation_title,matched_ssoc_title,ssoc_2020_code,median_monthly_wage,median_annual_wage,match_confidence
11203,Chief operating officer/General Manager,Chief operating officer/General manager,11203,5012.0,60144.0,0.9743589743589743
12113,Audit manager,Audit manager,12113,7000.0,84000.0,1.0
12123,Training manager,Training manager,12123,5796.0,69552.0,1.0
12133,Risk management manager,Risk management manager,12133,5677.0,68124.0,1.0
12215,Online sales channel manager,Online sales channel manager,12215,6688.0,80256.0,1.0
12222,Marketing manager,Marketing manager,12222,5327.0,63924.0,1.0
12230,Research and development manager,Research and development manager,12230,5200.0,62400.0,1.0
12242,Call centre manager,Call centre manager,12242,5866.0,70392.0,1.0
13100,Production manager in agriculture and fisheries,Production manager in agriculture/fisheries,13100,6940.0,83280.0,0.9333333333333332
13210,Manufacturing manager,Manufacturing manager,13210,5835.0,70020.0,1.0
13230,Construction manager,Construction manager,13230,4088.0,49056.0,1.0
13245,Port/Shipping operations manager,Port/Shipping operations manager,13245,7380.0,88560.0,1.0
13301,Chief information officer/Chief technology officer/Chief security officer,Chief information officer/Chief technology officer/Chief information security,13301,13500.0,162000.0,0.9066666666666666
13420,Health services manager,Health services manager,13420,4120.0,49440.0,1.0
13430,Aged care services manager,Aged care services manager,13430,6138.0,73656.0,1.0
13463,Financial risk manager,Financial risk manager,13463,6250.0,75000.0,1.0
14110,Hotel operations/Lodging services manager,Hotel operations/Lodging services manager,14110,3369.0,40428.0,1.0
14123,Food and beverage operations manager,Food and beverage operations manager,14123,6180.0,74160.0,1.0
14202,Wholesale trade manager,Wholesale trade manager,14202,8242.0,98904.0,1.0
14310,Sports centre manager,Sports centre manager,14310,2888.0,34656.0,1.0
21120,Urologist,Meteorologist,22138,5541.0,66492.0,0.7272727272727273
21130,Chemist,Chemist,21130,4000.0,48000.0,1.0
21213,Actuary,Actuary,21213,5260.0,63120.0,1.0
21222,Data scientist,Data scientist,21222,6246.0,74952.0,1.0
21415,Process engineer,Process engineer,21415,4990.0,59880.0,1.0
21422,Building construction engineer,Building construction engineer,21422,4300.0,51600.0,1.0
21430,Environmental engineer,Environmental engineer,21430,4810.0,57720.0,1.0
21444,Audio and video equipment engineer,Port equipment engineer,21524,3920.0,47040.0,0.7017543859649122
21454,Food and drink technologist,Food/Drink technologist,21454,5235.0,62820.0,0.84
21475,Rolling stock engineer,Rolling stock engineer,21475,5313.0,63756.0,1.0
21513,Lift engineer,Lift engineer,21513,3756.0,45072.0,1.0
21532,Telecommunications engineer,Telecommunications engineer,21532,4893.0,58716.0,1.0
21610,Building architect,Building architect,21610,4550.0,54600.0,1.0
21622,Landscape manager,Landscape designer,12192,4130.0,49560.0,0.7428571428571429
21632,Product and industrial designer,Product/Industrial designer,21632,3980.0,47760.0,0.6206896551724138
21670,Service designer,Service designer,21670,5290.0,63480.0,1.0
21714,Marine superintendent,Marine superintendent,21714,9600.0,115200.0,1.0
21729,Medical and pharmaceutical products sales professional,Aircraft pilot and related professional n.e.c.,24332,5683.0,68196.0,0.6
22110,General practitioner/physician,General practitioner/physician,22110,5425.0,65100.0,1.0
22128,Psychiatrist,Psychiatrist,22128,5959.0,71508.0,1.0
22200,"Registered nurse and other nursing professional (e.g. clinical nurse, nurse educator, excluding enrolled nurse)",Registered nurse and related nursing professional (excluding enrolled nurse),22200,4279.0,51348.0,0.6524064171122994
22302,Traditional Chinese medicine practitioner,Traditional Chinese medicine acupuncturist,22301,4000.0,48000.0,0.6987951807228916
22500,Veterinarian,Veterinarian,22500,5138.0,61656.0,1.0
22629,Pharmacologist,Pharmacist n.e.c.,21341,4313.0,51756.0,0.6451612903225806
22640,Physiotherapist,Physiotherapist,22640,4280.0,51360.0,1.0
22652,Nutritionist,Nutritionist,22652,3000.0,36000.0,1.0
22662,Speech therapist,Speech therapist,22662,4444.0,53328.0,1.0
22670,Optometrist,Optometrist,22670,4100.0,49200.0,1.0
22680,Occupational therapist,Occupational therapist,22680,4268.0,51216.0,1.0
23300,Technical/Vocational/Commercial education institute teacher and trainer,Technical/Vocational/Commercial education institute teacher/trainer,23300,3800.0,45600.0,0.9565217391304348
23690,Technical sales professional,Teaching professional n.e.c.,24331,4882.0,58584.0,0.6785714285714286
24113,Tax accountant,Tax accountant,24113,5000.0,60000.0,1.0
24122,Business valuer,Business valuer,24122,4500.0,54000.0,1.0
24149,Securities and finance dealer,Securities/Finance dealer n.e.c.,24141,5312.0,63744.0,0.7213114754098361
24159,Securities and finance broker,Securities/Finance broker n.e.c.,24151,9792.0,117504.0,0.7213114754098361
24160,Insurance underwriter,Insurance underwriter,24160,4600.0,55200.0,1.0
24214,Business and financial project management professional,Sustainability project development/management professional,24213,4726.0,56712.0,0.7142857142857143
24234,Industrial relations officer,Industrial relations officer,24234,4319.0,51828.0,1.0
24240,Training and staff development professional,Training/Staff development professional,24240,4154.0,49848.0,0.8292682926829268
24252,Intellectual property agent,Intellectual property examiner,24251,3111.0,37332.0,0.8421052631578947
24299,Policy administration professional (e.g. policy analyst),Other administration professional n.e.c.,24220,4788.0,57456.0,0.6666666666666667
24315,Revenue specialist,Revenue specialist,24315,5862.0,70344.0,1.0
24320,Public relations/Corporate communications professional,Public relations/Corporate communications professional,24320,4108.0,49296.0,1.0
24362,Ship charterer,Ship broker,24353,9728.0,116736.0,0.64
25125,Energy engineer,DevOps engineer,21496,7883.0,94596.0,0.6666666666666667
25141,Applications/Systems programmer,Applications/Systems programmer,25140,6500.0,78000.0,1.0
25152,ICT auditor,ICT auditor,25152,10512.0,126144.0,1.0
25190,Software and applications manager,Software and applications developer/analyst n.e.c.,13302,8114.0,97368.0,0.7228915662650602
25213,Materials engineer,Data engineer,21492,4702.0,56424.0,0.7741935483870968
25291,Data centre engineer,Data centre engineer,25291,3960.0,47520.0,1.0
26213,Curator,Conservator,26212,4610.0,55320.0,0.6666666666666667
26310,Economist,Economist,26310,4848.0,58176.0,1.0
26322,Social science researcher,Social science researcher,26322,6250.0,75000.0,1.0
26422,Editor (news and periodicals),Editor (news/periodicals),26422,6210.0,74520.0,0.6296296296296297
26550,Author,Actor,26411,3500.0,42000.0,0.7272727272727273
26629,Social work associate,Social work professional n.e.c.,34122,3000.0,36000.0,0.6153846153846154
31009,Assistant mechanical engineer,Assistant engineer n.e.c.,31004,2885.0,34620.0,0.7777777777777779
31129,Civil engineering technician,Civil engineering technician n.e.c.,31121,3665.0,43980.0,0.8888888888888888
31132,Lift technician,Lift technician,31132,2977.0,35724.0,1.0
31144,Instrumentation technician,Instrumentation technician,31144,3554.0,42648.0,1.0
31153,Machining/Tooling technician,Machining/Tooling technician,31153,2600.0,31200.0,1.0
31161,Technical/Engineering services manager (excluding transport),"Chemical engineering technician (excluding petroleum, natural gas and",13291,4450.0,53400.0,0.6046511627906976
31164,Resident technical officer,Food science technician,31124,2214.0,26568.0,0.6122448979591837
31175,Quality assurance technician,Quality assurance technician,31175,3615.0,43380.0,1.0
31214,Rolling stock engineering technician,Rolling stock engineering technician,31214,2561.0,30732.0,1.0
31350,Data processing control clerk,Metal production process controller,43151,3300.0,39600.0,0.65625
31423,Media and broadcasting operations technician,Farming technician (animal production),35211,3460.0,41520.0,0.6341463414634146
31510,Marine engineer,Marine engineering officer,21473,4300.0,51600.0,0.7317073170731707
31595,Load control officer (aircraft),Load control officer (aircraft),31595,3335.0,40020.0,1.0
31603,Air cargo officer,Parks officer,31594,3600.0,43200.0,0.6666666666666667
32120,Medical and pathology laboratory technician,Medical/Pathology laboratory technician,32120,3977.0,47724.0,0.7317073170731707
32130,Pharmacy technician,Pharmacy technician,32130,2995.0,35940.0,1.0
32143,Dental technician,Dental technician,32143,2642.0,31704.0,1.0
32200,Enrolled/Assistant nurse (excluding registered nurse),Enrolled/Assistant nurse (excluding registered nurse),32200,2872.0,34464.0,1.0
32400,Veterinary technician/assistant,Veterinary technician/assistant,32400,3562.0,42744.0,1.0
32530,Community health worker,Community health worker,32530,3000.0,36000.0,1.0
32540,Optician,Optician,32540,3806.0,45672.0,1.0
32572,Occupational health and safety inspector,Occupational health and safety inspector,32572,5500.0,66000.0,1.0
33132,Audit associate professional,Audit associate professional,33132,5050.0,60600.0,1.0
33133,Tax associate professional,Tax associate professional,33133,3900.0,46800.0,1.0
33160,Financial markets back office administrator,Financial services back office administrator,33121,4787.0,57444.0,0.8045977011494253
33232,Purchasing agent,Purchasing agent,33232,3720.0,44640.0,1.0
33320,Exhibition/Conference/Event planner (including wedding planner/coordinator),Exhibition/Conference/Event planner,33320,3500.0,42000.0,0.6363636363636364
33330,Employment agent/Labour contractor,Employment agent/Labour contractor,33330,4181.0,50172.0,1.0
33340,Real estate agent,Real estate agent,33340,2818.0,33816.0,1.0
33462,Maintenance planner,Maintenance planner,33462,4425.0,53100.0,1.0
33609,Air transport equipment project executive,Transport equipment project executive n.e.c.,33611,2811.0,33732.0,0.6823529411764706
34110,Legal associate professional (e.g. paralegal),Legal associate professional,34110,5200.0,62400.0,0.7671232876712328
34123,Volunteer executive,Volunteer executive,34123,3545.0,42540.0,1.0
34210,Athlete/Sportsman,Athlete/Sportsperson,34210,2418.0,29016.0,0.8108108108108109
34310,Photographer,Photographer,34310,3495.0,41940.0,1.0
34321,Interior designer,Interior designer,34321,3929.0,47148.0,1.0
34323,Visual merchandiser,Visual merchandiser,34323,4347.0,52164.0,1.0
34409,Creative advertising professional,Creative/Performing arts associate professional n.e.c.,24311,4425.0,53100.0,0.6436781609195402
35110,Computer systems operator,Computer systems operator,35110,4917.0,59004.0,1.0
35140,Website administrator/Webmaster,Website administrator/Webmaster,35140,3325.0,39900.0,1.0
35220,Telecommunications technician,Telecommunications engineering technician,35220,3305.0,39660.0,0.8285714285714285
36100,Pre-school education manager,Preschool education teacher,13410,2584.0,31008.0,0.8363636363636364
36209,Music instructor (extracurriculum),Extracurriculum instructor n.e.c.,36204,3500.0,42000.0,0.7462686567164178
36910,Private tutor (academic),Private tutor (academic),36910,4370.0,52440.0,1.0
39910,Non-ordained religious associate professional,Non-ordained religious associate professional,39910,2870.0,34440.0,1.0
40000,Office supervisor,Office supervisor,40000,3255.0,39060.0,1.0
41310,Typist and word processing operator,Typist/Word processing operator,41310,2475.0,29700.0,0.8181818181818181
41320,Data entry clerk,Data entry clerk,41320,2015.0,24180.0,1.0
42132,Money changer,Moneylender,42113,3021.0,36252.0,0.6666666666666667
